train_loss	valid loss	CER
5.44	5.2833	0.9983
4.01	3.0769	0.6428
2.69	2.6889	0.547
2.2	1.9606	0.4971
1.91	1.6922	0.4555
1.69	1.7452	0.4185
1.52	1.6362	0.3955
1.37	1.3481	0.3814
1.26	1.5829	0.361
1.12	1.3025	0.3372
1.04	1.1504	0.3232
0.973	1.2166	0.3162
0.912	1.0575	0.3105
0.86	1.0679	0.2999
0.776	1.0662	0.2906
0.729	1.0869	0.2828
0.664	1.0511	0.283
0.628	1.061	0.278
0.601	0.9643	0.2817
0.577	1.061	0.2783
0.256	1.0915	0.2495
0.367	1.1138	0.2562
0.365	1.0153	0.2583
0.355	1.0454	0.2592
0.313	1.0613	0.2629
0.297	0.9701	0.2509
0.29	1.0107	0.2486
0.26	1.1035	0.2534
0.247	1.1029	0.2449
0.225	1.0297	0.2483
0.212	1.0545	0.2487
0.205	1.1188	0.2418
0.19	1.0691	0.2382
0.178	1.0905	0.2386
0.174	1.0951	0.2404
0.164	1.1339	0.2396
0.156	1.114	0.2398
0.151	1.1357	0.2374
0.141	1.1529	0.2375
0.136	1.1158	0.2363
0.136	1.1495	0.2398
0.272	1.1404	0.2558
0.267	1.0324	0.2488
0.262	1.1591	0.2506
0.253	1.0144	0.2627
0.254	0.9885	0.2456
0.258	1.0447	0.2508
0.217	1.0983	0.2563
0.211	1.0704	0.2477
0.205	1.0767	0.2437
0.181	1.082	0.2434
0.173	1.0929	0.2388
0.156	1.0935	0.2401
0.148	1.1267	0.2378
0.134	1.137	0.237
0.129	1.1626	0.2396
0.119	1.1468	0.2361
0.113	1.1418	0.2375
0.11	1.1573	0.2322
0.109	1.1674	0.2352
0.1	1.1523	0.2379
0.0974	1.1972	0.2374
0.0954	1.1948	0.2307
0.0907	1.1792	0.2345
0.0883	1.203	0.2281
0.0859	1.1807	0.2321
0.0852	1.195	0.2289
0.0804	1.215	0.2272
0.0791	1.2058	0.2287
0.0775	1.2433	0.2309
